date,timestamp,price,market_caps,total_volumes
2025-05-30,1748563200000,105745.41660358038,2101348752694.3137,38279231892.56757
2025-05-31,1748649600000,104010.91956242644,2066830946978.064,39680060337.61021
2025-06-01,1748736000000,104687.50742934884,2080467809295.7693,20432694555.09522
2025-06-02,1748822400000,105710.00593822816,2101178071590.9749,17721500507.53389
2025-06-03,1748908800000,105884.74263221148,2104229403094.936,26313843058.73954
2025-06-04,1748995200000,105434.47745144973,2095294001281.48,25925661121.080395
2025-06-05,1749081600000,104812.9182188067,2083148839111.2068,25812143562.79796
2025-06-06,1749168000000,101650.7387545425,2020294099992.368,39711941132.0234
2025-06-07,1749254400000,104409.74967959142,2075175500201.4253,29897390978.090103
2025-06-08,1749340800000,105681.4546141758,2100553336902.508,17749731308.73042
2025-06-09,1749427200000,105692.24740699006,2100654769399.4705,16044679696.270103
2025-06-10,1749513600000,110261.57485948496,2191877481230.9468,38222993297.50514
2025-06-11,1749600000000,110212.73252109604,2189350055406.3333,36303839182.734825
2025-06-12,1749686400000,108679.9760916168,2159529375273.496,30338936631.626648
2025-06-13,1749772800000,105979.22902375912,2107911943768.2988,35865159511.38857
2025-06-14,1749859200000,106045.56440819205,2107973087547.792,49471015505.74361
2025-06-15,1749945600000,105482.90611628916,2097486541223.27,17916412455.866283
2025-06-16,1750032000000,105554.49383061715,2098499110552.6216,16568441852.649668
2025-06-17,1750118400000,106951.2720181497,2127895470544.7175,32095957011.724205
2025-06-18,1750204800000,104683.42479835715,2080968120976.949,38603212010.88944
2025-06-19,1750291200000,104722.695052907,2081677732261.6853,30339326410.154945
2025-06-20,1750377600000,104690.65002458123,2081355279873.408,18063282658.152294
2025-06-21,1750464000000,103290.105144757,2054120245608.2085,30632751225.407444
2025-06-22,1750550400000,101532.5683847329,2017415966695.528,21644463198.71953
2025-06-23,1750636800000,100852.58264648831,2005179769771.7349,51287142390.02526
2025-06-24,1750723200000,105511.62437933136,2097741233586.592,50011797128.6837
2025-06-25,1750809600000,105976.06929808448,2107110352429.8032,31704641076.941063
2025-06-26,1750896000000,107238.53045016268,2132141147369.0017,30468274982.034847
2025-06-27,1750982400000,106984.01253775664,2127292099754.93,24320699663.15122
2025-06-28,1751068800000,107078.91560644074,2129020567385.9597,25194306261.888832
2025-06-29,1751155200000,107331.58548463575,2134239999929.6584,8960877693.57604
2025-06-30,1751241600000,108396.61631317894,2155183166489.813,14881078675.366829
2025-07-01,1751328000000,107132.79910701896,2130471589191.581,22489515582.41552
2025-07-02,1751414400000,105613.39974163056,2100087563077.9324,25033160828.30909
2025-07-03,1751500800000,108824.44423167944,2163835371770.0977,36395184773.06136
2025-07-04,1751587200000,109602.20483914016,2179664531219.9343,29892049537.628605
2025-07-05,1751673600000,108040.8919400104,2148601712907.3435,24248906784.57383
